13780,-219.1,-71.48,-29.44,,265,0.265,-219.1,-71.48,-29.44
13783,-137.1,-140.86,-34.34,,268,0.268,-137.1,-140.86,-34.34
13784,-80.33,-71.48,-98.13,,269,0.269,-80.33,-71.48,-98.13
,,,,,-13515,-13.515,,,
13787,-181.25,-71.48,-63.78,,272,0.272,-181.25,-71.48,-63.78
,,,,,-13515,-13.515,,,
-58.87,,,,,-13573.87,-13.57387,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13797,-36.18,-52.56,-53.97,,,,-36.18,-52.56,-53.97
